"Player","Pos_C","Pos_F","Pos_PF","Pos_PG","Pos_SF","Pos_SF-PF","Pos_SG","Age","Tm_ATL","Tm_BOS","Tm_BRK","Tm_CHI","Tm_CHO","Tm_CLE","Tm_DAL","Tm_DEN","Tm_DET","Tm_GSW","Tm_HOU","Tm_IND","Tm_LAC","Tm_LAL","Tm_MEM","Tm_MIA","Tm_MIL","Tm_MIN","Tm_NOP","Tm_NYK","Tm_OKC","Tm_ORL","Tm_PHI","Tm_PHO","Tm_POR","Tm_SAC","Tm_SAS","Tm_TOR","Tm_TOT","Tm_UTA","Tm_WAS","G","GS","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","weight","salary"
"Andre Iguodala",0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,21.2,1.6,4.3,1,3.3,0.5,1,0.491,0.2,0.4,0.5,3.1,3.6,2.3,1,0.5,1,1.5,4.4,8.9,0.492,0.766,0.099,2.8,15.6,9.6,15.4,2.4,2.2,18.9,11.5,-0.2,0.8,0.6,0.053,-2.5,2.1,-0.4,0.2,93.9,17185185
"Joe Ingles",0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,8,26.6,4.1,7.9,2.4,5.3,1.7,2.6,0.67,1.2,1.4,0.4,3,3.5,4.7,0.4,0.2,1.6,1.7,11.8,16.7,0.694,0.675,0.173,1.8,11.6,6.9,25.2,0.7,0.6,16.2,16.3,2,0.8,2.7,0.198,3.3,0.8,4.1,1,94.8,11454546
"Brandon Ingram",0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,28,34.8,8.2,17.5,2.5,6.3,5.7,11.3,0.538,4.7,5.4,0.6,4.8,5.4,4.8,0.6,0.9,2.5,1.8,23.6,20.4,0.592,0.356,0.308,1.9,15.2,8.5,21.6,0.9,2.8,11,27.4,2.3,0.5,2.8,0.137,4.3,-1.2,3.1,1.2,88.9,7265485
"Kyrie Irving",0,0,0,1,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,35.4,10.7,20,3.1,6.9,7.6,13.1,0.61,3.9,4.3,0.9,3.7,4.6,5.7,1.1,0.8,2.4,3,28.3,25.3,0.647,0.346,0.213,3,11.1,7.3,26.6,1.4,1.7,9.9,29.6,2.6,0.4,3,0.203,6.1,-0.8,5.3,1.3,81.6,31742000
"Wesley Iwundu",0,0,0,0,1,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,13.6,0.8,2.7,0.2,1.4,0.6,1.4,0.315,0.5,0.6,0.3,1.6,1.9,0.5,0.4,0.1,0.2,1.2,2.2,3.6,0.367,0.5,0.217,2.4,13.3,7.8,4.4,1.5,0.8,7.4,10.3,-0.3,0.1,-0.1,-0.028,-6.2,-0.2,-6.4,-0.3,93,1618520
"Frank Jackson",0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5.6,0.6,2.3,0.4,1.4,0.1,0.9,0.344,0,0,0,0.7,0.7,1.1,0.1,0,0.6,0.6,1.6,1.5,0.344,0.625,0,0,15,7.2,30,1.3,0,20,22.2,-0.1,0,-0.1,-0.143,-7,-2.2,-9.2,-0.1,93,1618520
"Josh Jackson",0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,24.1,4.5,10.5,1.4,4.4,3.1,6.1,0.495,2.3,3.4,0.7,3.3,4,1.9,1,0.9,2.4,3,12.8,12.2,0.53,0.42,0.325,3.3,15.9,9.3,13.3,2,3.5,16.5,25.9,-0.7,0.7,0.1,0.005,-2.2,-0.2,-2.4,-0.1,92.1,7059480
"Justin Jackson",0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,2,18,2.9,6.4,1.2,3.3,1.8,3.2,0.547,0.8,1,0.4,1.9,2.4,1.8,0.4,0.1,1,1.2,7.8,12.1,0.569,0.509,0.155,2.6,11.1,6.9,15.6,1,0.3,12.7,19,0.2,0.3,0.4,0.06,-1.2,-0.6,-1.8,0,91.2,3280920
"Reggie Jackson",0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,20.8,3.1,7.4,1.2,3.4,2,4,0.508,1.1,1.4,0.3,2.4,2.7,3.3,0.7,0.1,1,1.9,8.6,13.3,0.534,0.462,0.196,1.9,12.4,7.3,21.8,1.6,0.5,10.7,19,0.7,0.5,1.2,0.103,-0.9,-0.7,-1.6,0.1,94.3,17799677
"Justin James",0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,6.3,0.8,1.9,0,0.5,0.8,1.4,0.4,0.1,0.9,0.3,0.6,0.9,0.4,0.1,0.1,0,0.1,1.6,6.6,0.36,0.267,0.467,4.3,11.1,7.7,7.9,1,1.7,0,15.4,-0.1,0,-0.1,-0.063,-4.3,-3.6,-7.9,-0.1,86.2,898310
