"Player","Pos_C","Pos_F","Pos_PF","Pos_PG","Pos_SF","Pos_SF-PF","Pos_SG","Age","Tm_ATL","Tm_BOS","Tm_BRK","Tm_CHI","Tm_CHO","Tm_CLE","Tm_DAL","Tm_DEN","Tm_DET","Tm_GSW","Tm_HOU","Tm_IND","Tm_LAC","Tm_LAL","Tm_MEM","Tm_MIA","Tm_MIL","Tm_MIN","Tm_NOP","Tm_NYK","Tm_OKC","Tm_ORL","Tm_PHI","Tm_PHO","Tm_POR","Tm_SAC","Tm_SAS","Tm_TOR","Tm_TOT","Tm_UTA","Tm_WAS","G","GS","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","weight","salary"
"Kawhi Leonard",0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,34.4,9.7,19,1.9,4.9,7.8,14.1,0.563,5.3,6.1,0.8,5,5.9,5,1.8,0.6,1.8,1.5,26.7,27.5,0.617,0.259,0.32,2.8,16,9.6,24.7,2.5,1.6,7.8,30.2,3,1.1,4.1,0.247,5.5,0.7,6.3,1.7,102.1,32742000
"Meyers Leonard",1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9.7,1,2.3,1,2.3,0,0,0.643,0.3,0.7,0,2.3,2.3,0.7,0,0,0.7,1.7,3.3,6.6,0.635,1,0.286,0,25.7,13.6,10,0,0,20.2,15.2,0,0,0,0.04,-3.5,-0.9,-4.4,0,111.1,11286515
"Caris LeVert",0,0,0,0,0,0,1,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,27.8,7.3,16.7,1.8,5.3,5.4,11.4,0.49,2.2,2.8,0.8,3.5,4.3,6,1.1,0.5,2.2,1.7,18.5,19.1,0.516,0.315,0.17,3.6,13.3,8.7,33.6,1.8,1.5,10.8,31.2,0.3,0.2,0.6,0.08,1.3,-0.7,0.6,0.2,86.6,2625717
"Damian Lillard",0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,27,35.9,9.2,20.4,4.1,10.8,5.1,9.6,0.553,7.2,7.7,0.5,3.9,4.4,7.7,1.1,0.3,3.1,1.6,29.8,27.1,0.625,0.529,0.379,1.4,12.2,6.5,36.2,1.5,0.7,11.7,32.2,4.2,0.3,4.5,0.225,7.7,-1.4,6.3,2.1,88.5,29802321
"Nassir Little",0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,2,10.8,1.7,3.1,0.8,1.4,0.8,1.7,0.688,0.6,0.7,0.8,1.2,2,0.2,0.2,0.3,0.5,0.8,4.8,16.3,0.717,0.45,0.225,7.2,12.7,9.8,3.1,0.7,2.6,13.7,15.5,0.3,0,0.4,0.132,1.6,-2,-0.4,0.1,99.8,2105520
"Kevon Looney",1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,14.7,1.6,2.5,0.1,0.2,1.5,2.3,0.642,0.4,0.6,1.5,2.6,4.1,1.8,0.3,0.3,0.7,1.8,3.7,13.9,0.656,0.094,0.245,11.1,18.3,14.8,16,1.1,1.7,19.3,10,0.7,0.4,1.1,0.166,-1,0.8,-0.2,0.1,100.7,4464286
"Brook Lopez",1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,27.1,3.9,8.5,1.6,4.6,2.3,3.9,0.557,1.3,1.6,1.5,3.6,5.1,0.6,0.5,1.3,0.8,1.9,10.8,13.4,0.587,0.54,0.186,6,13.6,9.9,2.8,0.8,4.3,7.9,15.4,1,0.8,1.8,0.112,0,-0.9,-0.9,0.2,120.2,12093024
"Robin Lopez",1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,9,19.4,3.1,5.3,0.2,0.5,3,4.8,0.606,1.6,2.3,2.2,2,4.2,1,0.2,0.5,1,1.9,8,15,0.632,0.088,0.445,11.4,11.2,11.3,7.2,0.5,2.4,13.7,15.5,0.9,0.2,1.1,0.108,-0.7,-2,-2.6,-0.1,115.7,4767000
"Kevin Love",0,0,1,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,23,3,9,1.5,4.5,1.5,4.5,0.417,2,2.5,1,5,6,2.5,0.5,0,1.5,0.5,9.5,11.2,0.47,0.5,0.278,4.7,25,14.5,16,1.1,0,12.9,21.7,0,0,0,0.007,-1.2,-0.8,-2.1,0,117.9,28942830
"Kyle Lowry",0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,25,34.4,6,13.2,2.8,7.1,3.2,6.1,0.556,3,3.5,0.8,4.6,5.4,6.4,1.2,0.2,2.9,3.2,17.7,16.3,0.601,0.539,0.264,2.4,15.5,8.7,28.1,1.6,0.5,16.4,21.9,1.5,0.7,2.2,0.124,1.3,-0.8,0.5,0.6,93,33296296
"Trey Lyles",0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,2,11.8,1.3,2.6,0.3,1.1,1,1.5,0.556,0.6,1.1,0.5,2.6,3.1,0.5,0,0,0,0.4,3.5,11.6,0.575,0.417,0.417,4.3,23.2,13.5,5.6,0,0,0,11.1,0.3,0.1,0.4,0.116,-0.5,-1.1,-1.6,0,109.3,5500000
"Thon Maker",1,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9.5,1.3,2.3,0,0.3,1.3,2,0.556,1.3,1.4,1,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8,18.9,0.657,0.111,0.611,11.3,15.1,13.1,7.8,1.3,4.8,11.6,14.6,0.2,0.1,0.3,0.173,0.3,1.2,1.5,0.1,98,3569643
"Terance Mann",0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,15.1,1.6,3.5,0.2,0.9,1.4,2.6,0.489,0.9,1.2,0.9,2.4,3.3,1.1,0.5,0.2,0.7,1.5,4.3,11.2,0.537,0.255,0.34,7.1,17.4,12.4,10,1.6,1.1,14.3,13.7,0.3,0.5,0.8,0.094,-2.5,-0.1,-2.6,-0.1,97.5,1e+06
"Lauri Markkanen",0,0,1,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,30.4,6.8,13.2,2.9,7.2,3.9,6,0.622,2.7,3.2,0.6,5.5,6.1,0.9,0.6,0.4,1.7,2.2,19.1,17.2,0.654,0.546,0.243,2.1,19.7,11.1,4.3,1,1,10.5,22.8,0.6,0.4,1,0.117,1.8,-1.4,0.3,0.3,108.9,5300400
"Wesley Matthews",0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,20.4,1.6,4.1,1.3,3.3,0.4,0.8,0.556,0.5,0.7,0.4,1,1.4,1.1,0.5,0.4,0.4,1.5,5.1,8.2,0.58,0.811,0.167,2.1,5.3,3.7,7.1,1.1,1.5,7.6,10.1,0.4,0.6,1,0.11,-1.8,0.2,-1.5,0,99.8,2564753
"CJ McCollum",0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,13,33.8,9.5,20,4.8,11,4.6,9,0.594,2.9,3.5,0.5,3.4,3.9,5,1.3,0.3,1,2.2,26.7,26.4,0.62,0.55,0.173,1.6,11.1,6.2,25.8,1.9,0.8,4.4,28.5,1.9,0.2,2.1,0.23,7.7,-0.7,6.9,1,89.4,27556959
"Doug McDermott",0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26.2,5.1,10.1,1.5,4.3,3.6,5.8,0.587,1.3,1.6,1,3.1,4.1,1.4,0.3,0.1,1.1,1.8,13.1,13.8,0.607,0.429,0.156,4.3,12.8,8.6,7.7,0.5,0.2,9.1,19.6,0.9,0.4,1.4,0.089,0.5,-2.2,-1.7,0.1,98.9,7333333
"JaVale McGee",1,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,15.7,3.1,6.8,0.3,0.8,2.9,6,0.478,1.3,2.2,1.7,3.9,5.6,1,0.5,1.2,1.3,2.5,7.8,16.5,0.502,0.119,0.326,11.6,28.6,19.8,10.4,1.4,7,13.9,24.6,-0.2,0.5,0.3,0.049,-2.7,0.5,-2.2,0,122.5,4e+06
"Rodney McGruder",0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1.1,2.4,0.4,0.9,0.8,1.5,0.553,0.4,0.4,0.4,0.8,1.1,0.8,0,0.1,0.5,0.5,3,11.1,0.591,0.368,0.158,5.1,11,7.9,14.5,0,1.4,16.4,16.4,0.1,0,0.1,0.056,-0.9,-1.7,-2.5,0,93,4807693
"Alfonzo McKinnie",0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3.1,0.7,1.1,0.2,0.4,0.5,0.8,0.719,0.1,0.3,0.4,0.4,0.9,0.1,0.1,0,0.1,0.3,1.8,22.7,0.704,0.313,0.25,15.8,14.7,15.3,3.5,1.1,0,5.3,18.5,0.2,0.1,0.2,0.254,4.6,-1.2,3.4,0.1,97.5,2391985
"Ben McLemore",0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,15.2,2.2,5.8,1.4,4.2,0.8,1.6,0.496,0.7,0.9,0.4,1.8,2.2,1,0.6,0.1,1.1,1.3,6.4,8.6,0.517,0.722,0.157,2.4,12.7,7.5,9.3,1.9,0.3,14.6,20.2,-0.3,0.4,0.1,0.012,-3.1,-0.9,-4,-0.2,85.7,2028594
"De'Anthony Melton",0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,21.5,4,8.3,1.6,3.6,2.4,4.8,0.575,0.4,0.7,0.3,2.7,3,3.2,0.9,1,1.4,2.1,10,15.6,0.58,0.43,0.08,1.7,14.1,7.7,21.2,2,4.3,14.1,19.8,0.2,0.3,0.5,0.094,0,1.3,1.2,0.2,86.2,1416852
"Chimezie Metu",1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,6.5,1.4,2.7,0.1,0.3,1.3,2.5,0.517,0.5,0.8,1,1.1,2.1,0.5,0.3,0.5,0.5,0.9,3.4,20.3,0.545,0.1,0.3,16.8,18.7,17.7,10.6,2,7.1,15,24,0.1,0.1,0.1,0.089,-0.7,-0.5,-1.3,0,102.1,1416852
"Khris Middleton",0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,33,7.5,14.6,2.4,5.5,5,9.1,0.593,3,3.3,0.7,5.1,5.8,5.8,1,0.1,2.5,2.8,20.3,20.1,0.632,0.376,0.224,2.4,16,9.3,24.8,1.5,0.4,13.6,23.7,2.5,0.9,3.4,0.177,3.5,-0.6,3,1.2,98.4,30603448
"Darius Miller",0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,9.3,0.9,2,0.8,1.8,0.2,0.3,0.646,0.3,0.3,0.1,1.2,1.3,0.8,0.4,0.3,0.4,0.8,2.8,12.5,0.671,0.875,0.125,0.9,13,7,12.5,2.1,3.1,16.5,11.8,0.1,0.2,0.3,0.117,-0.9,2.4,1.5,0.1,102.1,7250000
"Paul Millsap",0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,23.9,3.8,7.3,1.2,3,2.6,4.3,0.608,1.6,2.3,1.6,3.6,5.2,1.7,0.8,0.5,1,2.1,10.4,17,0.63,0.413,0.312,7.4,17,12.2,9.6,1.7,2.2,10.8,16.9,1.3,0.6,2,0.152,1.6,-0.7,0.9,0.5,113.4,30350000
"Shake Milton",0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,1,24.4,4.9,10.9,1,3.3,3.9,7.6,0.498,3.2,3.6,0.5,1.4,1.9,3,0.7,0.2,1.5,2.2,14,15.3,0.562,0.301,0.335,2.5,5.9,4.3,18.6,1.4,0.7,11,24.3,0.7,0.4,1.2,0.103,-0.7,-1.3,-2,0,93,1445697
"Donovan Mitchell",0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,27,33.6,8.3,19.4,3.4,8.6,4.9,10.8,0.514,4.2,5.1,1,3.4,4.4,5.1,0.9,0.4,3,2.2,24.2,18.9,0.559,0.445,0.261,3.2,10.3,6.9,25.3,1.3,0.9,12,31.4,1.6,1.1,2.7,0.145,2.7,-1,1.7,0.8,95.7,3635760
"Malik Monk",0,0,0,0,0,0,1,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,21.1,3.6,8,2.2,4.4,1.4,3.6,0.588,1.1,1.3,0.3,2,2.3,1.8,0.3,0.1,1.1,1.3,10.5,13,0.613,0.55,0.167,1.7,10.3,5.9,12.6,0.6,0.6,11.7,19.6,0.4,0.1,0.5,0.08,0.6,-2,-1.4,0,89.4,4028400
"E'Twaun Moore",0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,16.2,2.3,5.2,0.4,1.4,1.9,3.9,0.473,0.4,0.6,0.4,1.1,1.4,1.6,0.8,0.1,0.9,1.6,5.4,8.7,0.49,0.26,0.11,2.5,7.2,4.9,13.6,2.4,0.4,14.5,17.7,-0.2,0.3,0.1,0.023,-5,0.7,-4.3,-0.1,86.6,8664928
"Ja Morant",0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,30.3,6.8,14.9,0.8,3.3,6,11.6,0.485,4.3,5.4,0.8,2.3,3.1,8.3,0.9,0.3,3.2,1.4,18.8,18.7,0.544,0.218,0.361,2.7,8.7,5.6,41.6,1.4,0.8,15.6,28.7,0.6,0.3,0.9,0.09,1.9,-2.9,-1,0.1,78.9,8730240
"Marcus Morris",0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,25,4.5,10,2.5,5,2,5,0.576,1.7,1.9,0.8,3,3.8,0.9,0.6,0.3,1,1.8,13.2,15,0.609,0.502,0.185,3.5,13.3,8.6,5,1.1,1,8.4,21,0.8,0.5,1.3,0.116,1,-1.8,-0.8,0.2,106.6,1.5e+07
"Markieff Morris",0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,15.3,1.6,4,0.9,2.7,0.7,1.3,0.495,0.6,0.8,0.6,2.9,3.5,0.9,0.2,0.3,0.5,1.5,4.6,8.9,0.52,0.667,0.194,4.6,20.2,12.7,7.4,0.5,1.5,10.6,13.9,0.1,0.6,0.7,0.093,-2.2,-0.3,-2.6,0,111.1,3709887
"Monte Morris",0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,26,4.1,8.5,1.3,3.2,2.9,5.3,0.563,1.2,1.7,0.3,1.9,2.1,3.3,0.7,0.3,0.6,0.8,10.8,14.9,0.583,0.38,0.205,1.1,8.1,4.6,17.8,1.3,1,6.4,16.5,1.4,0.4,1.8,0.123,1.1,-1.4,-0.3,0.3,79.4,1588231
"Dejounte Murray",0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,27,30.4,6.2,13.9,1,3.3,5.1,10.6,0.484,1.7,2.1,0.6,6.6,7.2,5,1.6,0.1,1.7,2.1,15.1,16.4,0.512,0.238,0.155,2.1,22.9,12.2,25,2.4,0.2,10.1,23.2,0.2,1.3,1.5,0.087,-0.7,1,0.3,0.5,77.1,2321735
"Jamal Murray",0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,34.9,7.2,15.9,2.3,6.3,4.9,9.6,0.523,2.8,3.4,0.7,3.6,4.3,4.5,1.1,0.3,2.3,2.1,19.4,15.8,0.557,0.399,0.215,2.4,11.6,7,19.3,1.6,0.7,11.5,24.5,1,0.7,1.7,0.089,1.2,-1.7,-0.6,0.3,91.2,4444746
"Mike Muscala",1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,19,3.4,7.6,2,5.3,1.4,2.3,0.576,1.1,1.2,0.5,3.2,3.7,0.9,0.3,0.3,0.7,1.5,9.9,14.6,0.606,0.692,0.162,3,17,10.1,7.3,0.7,1.2,7.4,20,0.6,0.5,1.1,0.105,0.8,-1.4,-0.6,0.2,104.3,2028594
"Sviatoslav Mykhailiuk",0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,15.4,2.1,5.6,1.4,4.3,0.7,1.3,0.503,0.8,0.9,0.3,1.6,1.9,1.2,0.6,0.2,0.7,0.9,6.4,11.6,0.536,0.767,0.16,1.8,12.1,6.7,12.2,2,1.1,10.1,18.5,0.1,0.4,0.5,0.056,-0.4,-0.4,-0.9,0.1,93,1416852
"Abdel Nader",0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,14.3,2.6,5.2,0.8,2.1,1.8,3.1,0.581,1.2,1.5,0,2.4,2.4,0.9,0.4,0.1,0.7,1.1,7.2,14.8,0.615,0.403,0.29,0,18.3,9.3,9.5,1.4,0.5,10.3,20.3,0.2,0.2,0.4,0.112,-0.2,1,0.8,0.1,102.1,1618520
"Raul Neto",0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,6,18.9,3.1,6.7,1,2.7,2.1,4,0.543,0.8,1,0.5,1.8,2.2,1.7,1,0.1,0.6,1.3,8,13.6,0.564,0.404,0.142,2.6,10.1,6.2,12.9,2.5,0.4,8,17,0.4,0.3,0.7,0.08,-1.1,-0.2,-1.3,0.1,77.1,1737145
"Georges Niang",0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,13.1,1.8,4.7,1,3.2,0.8,1.5,0.5,0.2,0.2,0.3,1.9,2.2,0.8,0.4,0.1,0.7,1.5,4.9,8.3,0.51,0.684,0.037,2.9,14.4,8.9,8.1,1.4,0.6,12.1,17.7,-0.1,0.5,0.5,0.059,-3.3,0.2,-3.1,-0.1,104.3,1645357
"Nerlens Noel",1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,3,19,1.8,3.1,0,0.1,1.8,3,0.564,0.5,0.9,1.7,3.6,5.3,0.5,0.9,1.9,0.9,2.2,4,14.3,0.57,0.026,0.282,9.4,19.7,14.7,3.6,2.4,9.9,20.8,10.3,0.1,1.2,1.3,0.131,-3.2,3.7,0.5,0.3,93.4,1882867
"Frank Ntilikina",0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,10.5,1.5,3.5,1.3,2.3,0.3,1.3,0.607,0.3,0.8,0.3,0.8,1,0.8,0.8,0,0.5,1.8,4.5,12.4,0.587,0.643,0.214,2.5,7.4,5,10.8,3.6,0,11.5,18.2,0,0.1,0.1,0.113,-1.7,3,1.2,0,86.2,4855800
"David Nwaba",0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,23.3,3.4,7,0.6,2.2,2.8,4.8,0.524,1.4,2.1,1.2,2.5,3.7,1.1,1.1,0.8,0.6,2.1,8.8,13.4,0.553,0.315,0.298,5.4,11.3,8.3,6.9,2.2,2.8,7.3,15.6,0.5,0.8,1.3,0.114,-2,1.1,-0.8,0.2,95.3,2581965
"Royce O'Neale",0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,29,32.6,2.7,5.8,1.8,4.1,0.9,1.7,0.612,0.8,0.9,1.1,5.7,6.9,2.3,0.8,0.7,1.1,2.9,7.9,10.5,0.635,0.704,0.154,3.9,17.8,11.2,9.1,1.2,1.6,15.5,9.7,1.2,1.5,2.7,0.135,-1.1,1.7,0.6,0.6,102.5,1618520
"Semi Ojeleye",0,0,1,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,19.6,2,4.7,1.3,3.3,0.7,1.4,0.547,0.7,0.9,0.6,2.5,3.1,0.9,0.3,0,0.4,1.2,5.9,9.2,0.568,0.703,0.195,3.5,14.7,8.9,5.8,0.7,0,7.9,12.2,0.5,0.4,0.9,0.08,-0.9,-1.1,-2,0,106.6,1618520
"Jahlil Okafor",1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,2.1,3.5,0,0.3,2.1,3.3,0.595,0.1,0.2,1.1,1.2,2.3,0.3,0.2,0.2,0.3,0.8,4.3,15.6,0.595,0.071,0.048,11.7,13.6,12.6,4.3,0.8,1.5,8.5,16.9,0.2,0.1,0.2,0.099,-0.6,-2.5,-3.1,0,122.5,1702486
"Chuma Okeke",0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,21.7,1.7,4.5,0.7,2.2,1,2.2,0.457,0.2,0.5,1.2,2.2,3.4,2.1,0.8,0.3,0.7,1,4.3,9.4,0.462,0.5,0.103,5.7,10.7,8.1,13.1,1.9,1.3,12.9,10.5,0,0.3,0.3,0.055,-2.6,0.2,-2.4,0,104,2773550
"Josh Okogie",0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,20.3,1.7,4.8,0.4,2,1.2,2.8,0.391,1.3,1.7,1,1.6,2.6,1.2,0.8,0.6,0.7,1.9,5,7.7,0.454,0.418,0.345,4.8,9,6.8,7.6,1.9,2.5,11.8,12.9,-0.2,0.3,0.1,0.015,-4.7,-0.3,-5,-0.4,96.6,2530680
"KZ Okpala",0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,12,0.9,2.2,0.5,1.4,0.4,0.9,0.5,0.1,0.4,0.3,1.1,1.4,0.4,0.2,0.1,0.6,1.4,2.4,3.2,0.49,0.613,0.194,2.8,10.1,6.7,5,0.9,1.2,19.2,11,-0.2,0.1,0,-0.013,-6.2,-1.3,-7.6,-0.2,97.5,898310
"Victor Oladipo",0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,32,7,17.5,2.4,7.3,4.6,10.2,0.47,2.7,3.7,0.2,5,5.2,4.6,1.4,0.4,2.2,2.4,19.1,14.5,0.501,0.418,0.209,0.7,16.9,8.8,23.2,2,1.1,10.4,28.5,-0.4,0.9,0.5,0.037,-0.2,-0.5,-0.7,0.2,96.6,2.1e+07
"Kelly Olynyk",1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,26,3.6,8.5,2.1,6.1,1.5,2.3,0.548,0.6,0.8,1,4.8,5.8,2,0.8,0.7,1.3,2.6,9.9,12,0.558,0.725,0.092,4.6,19.5,12.5,11.8,1.5,2.6,12.8,17.3,0.1,1,1.1,0.074,-0.8,0.4,-0.4,0.3,106.1,12667885
"Miye Oni",0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,8,0.4,1.3,0.4,1.1,0,0.2,0.468,0.2,0.3,0.5,1.3,1.8,0.3,0.1,0.2,0.3,1.1,1.5,6,0.505,0.839,0.194,7.2,15.9,11.7,4.1,0.8,1.7,17.2,9.4,0,0.3,0.3,0.079,-4.1,0.5,-3.6,-0.1,95.3,898310
"Cedi Osman",0,0,0,0,1,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,26.4,4.1,10.9,2.1,6.1,2.1,4.8,0.476,1.1,1.4,0.7,2.7,3.3,2.6,0.9,0.1,1,2.1,11.5,11.2,0.499,0.559,0.133,2.8,11.5,7,14.8,1.6,0.4,8.3,20.4,0.2,0.4,0.6,0.035,-0.9,-1,-1.9,0,97.5,2907143
